Hisse,Son Fiyat (TL),Değişim (%),Değişim (TL),Hacim (TL),Hacim (Adet),
AEFES,64,80,-1,82,-1,20,191.844.699,2.914.633,
MMCAS,4,37,-3,74,-0,17,573.326,131.125,
SEKFK,8,79,2,21,0,19,55.584.264,6.220.577,
TUKAS,13,20,-2,94,-0,40,49.743.070,3.686.946,
TAVHL,86,30,0,58,0,50,508.365.145,5.860.845,
SASA,55,50,-1,42,-0,80,2.458.420.562,44.226.369,
PGSUS,589,30,0,39,2,30,1.102.178.596,1.860.200,
IZMDC,5,72,2,33,0,13,242.320.051,41.807.117,
DMSAS,9,24,1,87,0,17,11.496.234,1.277.742,
AKENR,4,31,-2,27,-0,10,23.101.866,5.329.598,
IPEKE,27,56,-0,51,-0,14,130.298.915,4.671.108,
KENT,176,60,0,11,0,20,566.543,3.210,
KLMSN,19,39,1,41,0,27,36.033.643,1.844.096,
AVTUR,3,55,-3,53,-0,13,4.080.890,1.156.244,
SRVGY,227,00,2,71,6,00,47.468.496,213.078,
DOGUB,12,25,0,49,0,06,41.323.075,3.321.846,
TEKTU,2,81,0,00,0,00,19.405.549,6.867.183,
DAGI,5,99,0,00,0,00,4.531.880,755.401,
VKGYO,2,44,1,24,0,03,58.981.800,24.311.398,
ULKER,33,78,1,44,0,48,225.812.399,6.682.709,
BURVA,63,80,-9,95,-7,05,4.158.612,65.182,
KRTEK,18,08,0,50,0,09,4.645.509,255.736,
SEKUR,18,91,0,59,0,11,4.978.945,263.821,
USAK,3,33,-0,30,-0,01,17.452.740,5.195.205,
EGEEN,4.958,40,4,72,223,70,182.063.587,36.820,
CCOLA,247,10,-0,84,-2,10,264.748.929,1.061.529,
BRYAT,1.010,00,0,34,3,40,109.616.870,107.169,
AKGRT,3,32,-0,60,-0,02,37.908.955,11.145.668,
AKFGY,3,86,2,66,0,10,128.969.965,33.406.798,
KLNMA,11,70,0,43,0,05,512.255,43.729,
BNTAS,5,36,-1,11,-0,06,13.571.295,2.516.269,
BAGFS,24,90,-2,51,-0,64,42.032.139,1.666.249,
OTKAR,189,00,-1,82,-3,50,55.434.967,288.965,
AVHOL,66,55,10,00,6,05,106.208.343,1.642.599,
KNFRT,14,78,1,23,0,18,12.062.661,818.352,
MRSHL,480,00,-0,83,-4,00,7.468.157,15.400,
EREGL,36,82,0,60,0,22,3.081.727.616,83.571.945,
SELEC,34,62,1,17,0,40,44.878.199,1.287.556,
ARCLK,111,50,-2,36,-2,70,616.551.046,5.393.587,
ISCTR,13,42,-2,75,-0,38,2.885.530.990,210.473.467,
BUCIM,6,04,2,03,0,12,94.511.948,15.605.900,
AVGYO,4,24,-0,70,-0,03,22.299.729,5.258.621,
BIZIM,26,80,3,96,1,02,48.958.156,1.868.452,
BFREN,3.919,80,0,82,31,80,40.366.906,10.168,
YYAPI,2,62,-1,87,-0,05,209.776.316,77.238.199,
PKART,22,76,1,97,0,44,9.173.284,400.503,
EKGYO,7,20,0,42,0,03,1.890.629.092,257.591.585,
SANKO,21,80,-0,64,-0,14,8.317.040,380.272,
PEGYO,6,45,-0,15,-0,01,6.190.443,964.489,
IHEVA,1,53,-0,65,-0,01,7.728.295,5.044.990,
SAHOL,43,98,4,17,1,76,2.687.043.137,61.590.660,
LUKSK,26,94,0,45,0,12,8.899.150,329.042,
KSTUR,309,80,-1,81,-5,70,142.292,457,
JANTS,105,10,-1,87,-2,00,41.360.127,386.711,
KRGYO,19,54,5,34,0,99,56.153.545,2.927.408,
GRNYO,4,63,-1,49,-0,07,8.686.219,1.864.987,
ALCTL,84,60,-6,52,-5,90,112.427.181,1.277.501,
GEDZA,24,60,4,24,1,00,18.463.347,760.628,
THYAO,180,70,-1,26,-2,30,8.564.601.998,46.716.947,
PAGYO,26,48,0,99,0,26,2.976.310,112.196,
ALARK,72,00,-0,21,-0,15,357.681.597,4.917.940,
POLHO,10,31,2,89,0,29,58.530.092,5.669.428,
GSDDE,7,32,-0,68,-0,05,7.734.501,1.046.606,
CMBTN,506,20,1,91,9,50,27.490.943,53.581,
DIRIT,5,40,5,88,0,30,783.519,143.217,
HEKTS,31,44,0,26,0,08,2.051.163.831,64.778.898,
GARFA,28,96,9,95,2,62,12.235.921,424.748,
SONME,36,98,-6,90,-2,74,35.243.486,904.136,
AKSUE,49,76,1,22,0,60,75.305.064,1.504.187,
IEYHO,1,55,1,31,0,02,17.807.484,11.467.756,
ATSYH,67,65,10,00,6,15,6.147.231,92.582,
KRDMA,19,10,-2,15,-0,42,40.144.409,2.058.825,
VAKKO,49,80,-0,60,-0,30,18.726.515,373.569,
MEPET,4,65,-3,93,-0,19,11.418.481,2.417.145,
